Study	Article Title	Journal	Primary Synthesis Domain	Contributions to the Exposure–Conversion Synthesis
Kim & Zo (2026)	Impact of shared micro-mobility on local economy: Market sales and regional disparities	Transportation Research Part A: Policy and Practice	Commercial districts, market areas, and spatial infrastructure	Mobility traces linked to market outcomes; Spatial access and market exposure; Commercial districts and place-based markets; Local conditions shaping conversion
Klopack & Luco (2025)	JUE Insight: Measuring local consumption with payment cards and cell phone pings	Journal of Urban Economics	Local consumption and spending flows	Mobility traces linked to market outcomes; Local consumption and spending flows
Küçükaydn et al. (2012)	A leaderfollower game in competitive facility location	Computers and Operations Research	General mobility-market theory and methods	Mobility traces linked to market outcomes
Kumar et al. (2024)	Analysing changes in grocery shopping trips after COVID-19: Nagpur case study	Transportation Research Part D: Transport and Environment	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Spatial access and market exposure; Local conditions shaping conversion
Kumar et al. (2025)	Shifts in shopping trips and multicategory interactions post COVID-19	Transportation	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Spatial access and market exposure; Local conditions shaping conversion
Lam et al. (2001)	Evaluating promotions in shopping environments: Decomposing sales response into attraction, conversion, and spending effects	Marketing Science	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Lee et al. (2026)	Heat Adaptation in Street Markets: The Role of Fog Cooling Systems in Sales Growth	Journal of Urban Planning and Development	Local consumption and spending flows	Mobility traces linked to market outcomes
Li et al. (2025)	Product Returns and Assortment Decisions: A Strategic Analysis of Online and Offline Competition	Journal of Marketing Research	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Liu et al. (2019)	Indoor Mobility Interaction Model: Insights into the Customer Flow in Shopping Malls	IEEE Access	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes
Liu et al. (2023)	Potential value of air: Effect of air pollution on retail store performance and customer behavior	Naval Research Logistics	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Liu & Bardaka (2025)	Exploring the effects of urban rail on the survival of nearby businesses	Transport Policy	Commercial districts, market areas, and spatial infrastructure	Mobility traces linked to market outcomes; Spatial access and market exposure; Local conditions shaping conversion
Liu & Lim (2025)	Market area analysis for in-store online order fulfillment: a data-driven approach	Transportation Research Part A: Policy and Practice	Commercial districts, market areas, and spatial infrastructure	Location-based marketing linked to offline behavior; Spatial access and market exposure
Löffler (1998)	Market areas - A methodological reflection on their boundaries	GeoJournal	Commercial districts, market areas, and spatial infrastructure	Mobility traces linked to market outcomes; Spatial access and market exposure
Lu & Li (2025)	Fee or free? Re-think the role of service fees in omnichannel retailing after the pandemic	Journal of the Operational Research Society	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Luo & Ranjan (2025)	Mapping Spatial Heterogeneity in Retail Advertising Effectiveness	Journal of Marketing Research	Retail traffic, visits, and store conversion	Spatial access and market exposure
Martínez-de-Albéniz & Belkaid (2021)	Here comes the sun: Fashion goods retailing under weather fluctuations	European Journal of Operational Research	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Local conditions shaping conversion
Mishra & Roy (2026)	How formal shapes informal: The case of informal businesses in mixed-use streets	Cities	Retail traffic, visits, and store conversion	Mobility traces linked to market outcomes; Spatial access and market exposure; Commercial districts and place-based markets; Local conditions shaping conversion
